Proveedor,Ciudad,Tipo de Insumos,CupoCredito
Proveedor_1,Bucaramanga,Arena,4220243.0
Proveedor_2,Barranquilla,Pintura,7592662.0
Proveedor_3,Bucaramanga,Acero,3258042.0
Proveedor_4,Cali,Ladrillo,5559418.0
Proveedor_5,Barranquilla,Grava,5155916.0
Proveedor_6,Barranquilla,Ladrillo,7948198.0
Proveedor_7,Medellín,Acero,6853357.0
Proveedor_8,Cartagena,Madera,7178161.0
Proveedor_9,Medellín,Acero,5750728.0
Proveedor_10,Cali,Madera,5309504.0
Proveedor_11,Cartagena,Vidrio,5935610.0
Proveedor_12,Cartagena,Concreto,4559892.0
Proveedor_13,Cartagena,Concreto,5076800.0
Proveedor_14,Cali,Concreto,6085680.0
Proveedor_15,Cali,Madera,5294496.0
Proveedor_16,Medellín,Acero,5422474.0
Proveedor_17,Bogotá,Ladrillo,5144389.0
Proveedor_18,Medellín,Vidrio,5061032.0
Proveedor_19,Bucaramanga,Madera,4944342.0
Proveedor_20,Cali,Concreto,5422656.0
Proveedor_21,Bogotá,Vidrio,3543371.0
Proveedor_22,Cartagena,Acero,5593393.0
Proveedor_23,Bucaramanga,Grava,5617244.0
Proveedor_24,Bogotá,Arena,6796793.0
Proveedor_25,Bogotá,Madera,2554656.0
Proveedor_26,Cali,Grava,4230950.0
Proveedor_27,Cartagena,Acero,6846546.0
Proveedor_28,Bogotá,Grava,3639794.0
Proveedor_29,Barranquilla,Pintura,3981038.0
Proveedor_30,Bogotá,Pintura,3188151.0
Proveedor_31,Bucaramanga,Pintura,6977403.0
Proveedor_32,Bucaramanga,Pintura,4907422.0
Proveedor_33,Bogotá,Pintura,4032160.0
Proveedor_34,Medellín,Pintura,5785519.0
Proveedor_35,Bogotá,Pintura,2030009.0
Proveedor_36,Cartagena,Grava,2913359.0
Proveedor_37,Barranquilla,Ladrillo,2170901.0
Proveedor_38,Bogotá,Pintura,5966862.0
