Proveedor,Ciudad,Tipo de Insumos,CupoCredito
Proveedor_1,Bogotá,Arena,4104259.0
Proveedor_2,Barranquilla,Acero,5687265.0
Proveedor_3,Bogotá,Ladrillo,4032414.0
Proveedor_4,Medellín,Concreto,5891987.0
Proveedor_5,Bucaramanga,Concreto,8186573.0
Proveedor_6,Bucaramanga,Concreto,2188463.0
Proveedor_7,Cartagena,Grava,5716749.0
Proveedor_8,Bogotá,Arena,5594195.0
Proveedor_9,Cartagena,Madera,6384595.0
Proveedor_10,Cartagena,Arena,4091186.0
Proveedor_11,Barranquilla,Vidrio,4724090.0
Proveedor_12,Bogotá,Madera,1831191.0
Proveedor_13,Cali,Concreto,7764905.0
Proveedor_14,Bogotá,Arena,4700639.0
Proveedor_15,Cali,Acero,5114167.0
Proveedor_16,Cali,Grava,5226975.0
Proveedor_17,Cali,Grava,6100494.0
Proveedor_18,Bogotá,Madera,7290912.0
Proveedor_19,Medellín,Pintura,5803485.0
Proveedor_20,Cali,Arena,3675306.0
Proveedor_21,Cartagena,Vidrio,6176060.0
Proveedor_22,Cartagena,Madera,3083718.0
Proveedor_23,Medellín,Arena,5880520.0
Proveedor_24,Bucaramanga,Arena,5222715.0
Proveedor_25,Medellín,Grava,6053935.0
Proveedor_26,Medellín,Arena,6174412.0
Proveedor_27,Cartagena,Concreto,6093105.0
Proveedor_28,Bucaramanga,Grava,5311408.0
Proveedor_29,Bogotá,Concreto,3460451.0
Proveedor_30,Bogotá,Grava,6286112.0
Proveedor_31,Cartagena,Pintura,3440178.0
Proveedor_32,Barranquilla,Vidrio,3802889.0
Proveedor_33,Bogotá,Acero,1232061.0
Proveedor_34,Medellín,Concreto,6173821.0
Proveedor_35,Bucaramanga,Arena,4243745.0
Proveedor_36,Barranquilla,Arena,5493563.0
Proveedor_37,Bucaramanga,Vidrio,1929364.0
Proveedor_38,Bucaramanga,Concreto,1650092.0
Proveedor_39,Cartagena,Madera,4833993.0
Proveedor_40,Cartagena,Madera,3818428.0
Proveedor_41,Cartagena,Pintura,6830142.0
Proveedor_42,Medellín,Arena,4177735.0
Proveedor_43,Cartagena,Concreto,5574343.0
Proveedor_44,Cartagena,Acero,5602743.0
Proveedor_45,Bucaramanga,Pintura,806783.0
Proveedor_46,Medellín,Concreto,4895451.0
