Proveedor,Ciudad,Tipo de Insumos,CupoCredito
Proveedor_1,Medellín,Vidrio,5915137.0
Proveedor_2,Bogotá,Ladrillo,3740778.0
Proveedor_3,Cali,Pintura,4854374.0
Proveedor_4,Bucaramanga,Acero,5684162.0
Proveedor_5,Bogotá,Vidrio,5312746.0
Proveedor_6,Bogotá,Acero,6118123.0
Proveedor_7,Medellín,Madera,6138493.0
Proveedor_8,Bucaramanga,Ladrillo,4193361.0
Proveedor_9,Cali,Vidrio,4998306.0
Proveedor_10,Barranquilla,Concreto,7342196.0
Proveedor_11,Barranquilla,Arena,2514820.0
Proveedor_12,Medellín,Ladrillo,2354782.0
Proveedor_13,Bogotá,Vidrio,2836860.0
Proveedor_14,Medellín,Concreto,7526253.0
Proveedor_15,Cali,Acero,5785517.0
Proveedor_16,Cali,Vidrio,4215599.0
Proveedor_17,Barranquilla,Arena,3617539.0
Proveedor_18,Cartagena,Acero,5538737.0
Proveedor_19,Medellín,Arena,5774659.0
Proveedor_20,Barranquilla,Arena,6322030.0
Proveedor_21,Bucaramanga,Concreto,4451278.0
Proveedor_22,Bogotá,Ladrillo,6009616.0
Proveedor_23,Medellín,Madera,6129623.0
Proveedor_24,Bogotá,Pintura,5404775.0
Proveedor_25,Cali,Ladrillo,5520874.0
Proveedor_26,Cali,Ladrillo,704848.0
Proveedor_27,Cali,Concreto,8016455.0
Proveedor_28,Bogotá,Madera,4091750.0
Proveedor_29,Medellín,Arena,3796155.0
Proveedor_30,Bucaramanga,Madera,4439944.0
Proveedor_31,Cali,Ladrillo,7108679.0
