Proveedor,Ciudad,Tipo de Insumos,CupoCredito
Proveedor_1,Bucaramanga,Ladrillo,3523265.0
Proveedor_2,Cali,Pintura,2946911.0
Proveedor_3,Barranquilla,Vidrio,9131653.0
Proveedor_4,Cartagena,Arena,5506083.0
Proveedor_5,Cali,Pintura,4744727.0
Proveedor_6,Cartagena,Vidrio,7555361.0
Proveedor_7,Bucaramanga,Vidrio,6028166.0
Proveedor_8,Bogotá,Pintura,3614007.0
Proveedor_9,Barranquilla,Acero,3860628.0
Proveedor_10,Cali,Acero,2722975.0
Proveedor_11,Cali,Ladrillo,4182926.0
Proveedor_12,Cali,Pintura,6371482.0
Proveedor_13,Bucaramanga,Ladrillo,6357625.0
Proveedor_14,Bogotá,Ladrillo,4862338.0
Proveedor_15,Bucaramanga,Pintura,3421748.0
Proveedor_16,Medellín,Concreto,6057071.0
Proveedor_17,Bogotá,Vidrio,4706801.0
Proveedor_18,Bucaramanga,Arena,6308808.0
Proveedor_19,Barranquilla,Pintura,8423564.0
Proveedor_20,Cartagena,Ladrillo,5851415.0
Proveedor_21,Cartagena,Ladrillo,4521431.0
Proveedor_22,Bucaramanga,Acero,2860407.0
Proveedor_23,Barranquilla,Madera,2643195.0
Proveedor_24,Bogotá,Ladrillo,3487732.0
Proveedor_25,Bogotá,Vidrio,6688250.0
Proveedor_26,Barranquilla,Arena,3906500.0
Proveedor_27,Barranquilla,Vidrio,5711335.0
Proveedor_28,Bogotá,Pintura,4777487.0
Proveedor_29,Cali,Ladrillo,2312520.0
Proveedor_30,Medellín,Arena,5264535.0
Proveedor_31,Cartagena,Ladrillo,4633561.0
Proveedor_32,Barranquilla,Madera,7125373.0
Proveedor_33,Cartagena,Grava,2408744.0
Proveedor_34,Bucaramanga,Acero,5580647.0
Proveedor_35,Medellín,Acero,4150570.0
Proveedor_36,Bucaramanga,Grava,5864985.0
Proveedor_37,Medellín,Madera,4338562.0
Proveedor_38,Medellín,Acero,5853068.0
Proveedor_39,Cartagena,Concreto,3347375.0
Proveedor_40,Bucaramanga,Arena,4612158.0
Proveedor_41,Cartagena,Ladrillo,3467239.0
Proveedor_42,Medellín,Arena,5249778.0
