Proveedor,Ciudad,Tipo de Insumos,CupoCredito
Proveedor_1,Barranquilla,Pintura,5655086.0
Proveedor_2,Medellín,Madera,4589539.0
Proveedor_3,Barranquilla,Concreto,8275407.0
Proveedor_4,Bogotá,Ladrillo,3438088.0
Proveedor_5,Bogotá,Concreto,4065067.0
Proveedor_6,Cartagena,Pintura,3466109.0
Proveedor_7,Cali,Acero,4100189.0
Proveedor_8,Cartagena,Vidrio,5107274.0
Proveedor_9,Cali,Acero,5895477.0
Proveedor_10,Bucaramanga,Acero,4589758.0
Proveedor_11,Cali,Ladrillo,7413490.0
Proveedor_12,Bogotá,Acero,5257305.0
Proveedor_13,Bogotá,Arena,6030388.0
Proveedor_14,Cartagena,Vidrio,5726059.0
Proveedor_15,Cartagena,Acero,931030.0
Proveedor_16,Barranquilla,Acero,5265501.0
Proveedor_17,Medellín,Arena,4090510.0
Proveedor_18,Bogotá,Madera,5805862.0
Proveedor_19,Cartagena,Pintura,5646923.0
Proveedor_20,Cali,Ladrillo,6407852.0
Proveedor_21,Cali,Grava,4734596.0
Proveedor_22,Cali,Arena,5036079.0
Proveedor_23,Barranquilla,Acero,8462563.0
Proveedor_24,Medellín,Vidrio,4923295.0
Proveedor_25,Cartagena,Madera,6243544.0
Proveedor_26,Bucaramanga,Ladrillo,4353238.0
Proveedor_27,Bogotá,Acero,4546707.0
Proveedor_28,Cartagena,Acero,4144980.0
Proveedor_29,Bogotá,Pintura,1385642.0
Proveedor_30,Barranquilla,Pintura,3625434.0
Proveedor_31,Cartagena,Arena,6793571.0
Proveedor_32,Bogotá,Madera,6441763.0
Proveedor_33,Barranquilla,Concreto,3770585.0
Proveedor_34,Barranquilla,Acero,2777587.0
Proveedor_35,Bogotá,Pintura,2055166.0
