Proveedor,Ciudad,Tipo de Insumos,CupoCredito
Proveedor_1,Bogotá,Concreto,6016290.0
Proveedor_2,Bucaramanga,Grava,3572256.0
Proveedor_3,Barranquilla,Pintura,7618793.0
Proveedor_4,Barranquilla,Ladrillo,4722589.0
Proveedor_5,Bucaramanga,Arena,4756218.0
Proveedor_6,Cali,Acero,4775850.0
Proveedor_7,Barranquilla,Concreto,4977245.0
Proveedor_8,Cali,Ladrillo,4805477.0
Proveedor_9,Cali,Grava,3993729.0
Proveedor_10,Bucaramanga,Vidrio,5787876.0
Proveedor_11,Cartagena,Concreto,7153628.0
Proveedor_12,Barranquilla,Pintura,5302503.0
Proveedor_13,Bucaramanga,Grava,6915827.0
Proveedor_14,Cali,Arena,5791286.0
Proveedor_15,Barranquilla,Pintura,4732309.0
Proveedor_16,Cali,Ladrillo,4571624.0
Proveedor_17,Bogotá,Pintura,5446941.0
Proveedor_18,Cartagena,Pintura,7231462.0
Proveedor_19,Medellín,Madera,3637306.0
Proveedor_20,Cartagena,Vidrio,4465738.0
Proveedor_21,Cartagena,Madera,3537660.0
Proveedor_22,Cali,Pintura,5327038.0
Proveedor_23,Bucaramanga,Grava,6477592.0
Proveedor_24,Cartagena,Ladrillo,3735934.0
Proveedor_25,Bucaramanga,Pintura,5272625.0
Proveedor_26,Cali,Madera,6152118.0
Proveedor_27,Barranquilla,Arena,6490172.0
Proveedor_28,Cartagena,Arena,4660551.0
Proveedor_29,Barranquilla,Acero,3532533.0
Proveedor_30,Barranquilla,Ladrillo,5744025.0
Proveedor_31,Bucaramanga,Acero,4843788.0
Proveedor_32,Barranquilla,Madera,0.0
Proveedor_33,Cartagena,Madera,6060811.0
Proveedor_34,Cali,Madera,4174870.0
Proveedor_35,Barranquilla,Pintura,9339248.0
Proveedor_36,Bucaramanga,Pintura,5931938.0
Proveedor_37,Medellín,Acero,4945964.0
Proveedor_38,Cali,Arena,6233693.0
Proveedor_39,Bogotá,Ladrillo,3745533.0
Proveedor_40,Medellín,Ladrillo,2739839.0
Proveedor_41,Cartagena,Ladrillo,4879048.0
Proveedor_42,Cali,Acero,5071836.0
Proveedor_43,Bucaramanga,Pintura,6248070.0
Proveedor_44,Cali,Pintura,6368838.0
Proveedor_45,Bogotá,Concreto,5953233.0
Proveedor_46,Bogotá,Ladrillo,3989974.0
