Proveedor,Ciudad,Tipo de Insumos,CupoCredito
Proveedor_1,Cartagena,Grava,6887373.0
Proveedor_2,Medellín,Pintura,6343892.0
Proveedor_3,Cartagena,Concreto,4283321.0
Proveedor_4,Bucaramanga,Madera,6024033.0
Proveedor_5,Cartagena,Grava,4574375.0
Proveedor_6,Bogotá,Ladrillo,5109534.0
Proveedor_7,Cali,Acero,5588632.0
Proveedor_8,Cartagena,Acero,6581332.0
Proveedor_9,Cartagena,Ladrillo,4666082.0
Proveedor_10,Bogotá,Grava,7412054.0
Proveedor_11,Medellín,Vidrio,5112065.0
Proveedor_12,Medellín,Ladrillo,1971463.0
Proveedor_13,Barranquilla,Arena,5625300.0
Proveedor_14,Bucaramanga,Madera,4730102.0
Proveedor_15,Bucaramanga,Acero,3318785.0
Proveedor_16,Barranquilla,Pintura,6144179.0
Proveedor_17,Cartagena,Concreto,5792164.0
Proveedor_18,Barranquilla,Acero,6537450.0
Proveedor_19,Bucaramanga,Acero,3251491.0
Proveedor_20,Bucaramanga,Vidrio,7174806.0
Proveedor_21,Bogotá,Ladrillo,5424216.0
Proveedor_22,Cali,Pintura,5322495.0
Proveedor_23,Cartagena,Madera,3959294.0
Proveedor_24,Barranquilla,Acero,5291692.0
Proveedor_25,Bogotá,Vidrio,1630906.0
Proveedor_26,Bogotá,Acero,5902064.0
Proveedor_27,Cartagena,Arena,5378551.0
Proveedor_28,Cartagena,Grava,3257563.0
Proveedor_29,Barranquilla,Concreto,3421725.0
Proveedor_30,Barranquilla,Acero,5503167.0
Proveedor_31,Bucaramanga,Ladrillo,6573103.0
Proveedor_32,Bogotá,Arena,3615960.0
Proveedor_33,Medellín,Madera,4880100.0
Proveedor_34,Barranquilla,Vidrio,6465197.0
Proveedor_35,Bogotá,Ladrillo,4551080.0
Proveedor_36,Medellín,Pintura,5932774.0
Proveedor_37,Cartagena,Acero,4394023.0
Proveedor_38,Medellín,Ladrillo,3631599.0
Proveedor_39,Barranquilla,Acero,4558244.0
Proveedor_40,Cali,Pintura,5112039.0
Proveedor_41,Medellín,Arena,5200139.0
Proveedor_42,Bogotá,Vidrio,4744992.0
Proveedor_43,Bucaramanga,Grava,3594458.0
Proveedor_44,Bucaramanga,Acero,4905774.0
Proveedor_45,Barranquilla,Pintura,5515277.0
Proveedor_46,Bucaramanga,Concreto,3034351.0
Proveedor_47,Cartagena,Arena,3844344.0
Proveedor_48,Cali,Arena,4231746.0
Proveedor_49,Cali,Acero,5748640.0
