Proveedor,Ciudad,Tipo de Insumos,CupoCredito
Proveedor_1,Cali,Madera,5314845.0
Proveedor_2,Bucaramanga,Pintura,3361301.0
Proveedor_3,Bogotá,Ladrillo,7243531.0
Proveedor_4,Cali,Vidrio,7238972.0
Proveedor_5,Cali,Arena,8714799.0
Proveedor_6,Barranquilla,Madera,5256405.0
Proveedor_7,Cali,Concreto,5155276.0
Proveedor_8,Barranquilla,Concreto,5012177.0
Proveedor_9,Cali,Acero,3778814.0
Proveedor_10,Cali,Concreto,1182175.0
Proveedor_11,Medellín,Arena,3095045.0
Proveedor_12,Cartagena,Concreto,6522377.0
Proveedor_13,Barranquilla,Grava,4480132.0
Proveedor_14,Bucaramanga,Madera,5312370.0
Proveedor_15,Cartagena,Grava,3901435.0
Proveedor_16,Medellín,Ladrillo,5752249.0
Proveedor_17,Medellín,Ladrillo,3404152.0
Proveedor_18,Barranquilla,Pintura,4142505.0
Proveedor_19,Cali,Madera,5808402.0
Proveedor_20,Bucaramanga,Arena,3358330.0
Proveedor_21,Medellín,Vidrio,5750030.0
Proveedor_22,Medellín,Concreto,5843523.0
Proveedor_23,Medellín,Acero,6744070.0
Proveedor_24,Bucaramanga,Ladrillo,6571717.0
Proveedor_25,Barranquilla,Concreto,5372998.0
Proveedor_26,Bogotá,Grava,5238573.0
Proveedor_27,Barranquilla,Madera,6288157.0
Proveedor_28,Barranquilla,Madera,3396757.0
Proveedor_29,Bucaramanga,Grava,5550502.0
Proveedor_30,Bucaramanga,Grava,7056197.0
Proveedor_31,Bogotá,Acero,3665625.0
Proveedor_32,Cartagena,Acero,5401200.0
Proveedor_33,Medellín,Pintura,2862756.0
Proveedor_34,Barranquilla,Grava,4463415.0
Proveedor_35,Cali,Grava,3445348.0
Proveedor_36,Cartagena,Arena,1563183.0
Proveedor_37,Medellín,Arena,5289873.0
Proveedor_38,Cali,Arena,4523631.0
Proveedor_39,Cartagena,Grava,8381711.0
Proveedor_40,Bucaramanga,Madera,3109802.0
Proveedor_41,Medellín,Grava,5021200.0
Proveedor_42,Medellín,Vidrio,7861031.0
Proveedor_43,Bogotá,Pintura,4723854.0
Proveedor_44,Cali,Pintura,5157289.0
Proveedor_45,Cartagena,Concreto,3340262.0
Proveedor_46,Barranquilla,Grava,3188739.0
Proveedor_47,Bucaramanga,Vidrio,5075743.0
Proveedor_48,Barranquilla,Grava,2998986.0
