Proveedor,Ciudad,Tipo de Insumos,CupoCredito
Proveedor_1,Bucaramanga,Ladrillo,3569903.0
Proveedor_2,Cartagena,Ladrillo,4705130.0
Proveedor_3,Medellín,Concreto,6564075.0
Proveedor_4,Bucaramanga,Ladrillo,4561622.0
Proveedor_5,Cartagena,Madera,5665267.0
Proveedor_6,Cali,Pintura,5488439.0
Proveedor_7,Cartagena,Pintura,5523358.0
Proveedor_8,Medellín,Pintura,3394064.0
Proveedor_9,Cartagena,Acero,3656588.0
Proveedor_10,Bucaramanga,Vidrio,6090861.0
Proveedor_11,Barranquilla,Ladrillo,9125587.0
Proveedor_12,Cartagena,Arena,6520000.0
Proveedor_13,Bucaramanga,Grava,2387448.0
Proveedor_14,Cali,Vidrio,6301155.0
Proveedor_15,Cartagena,Arena,5400390.0
Proveedor_16,Barranquilla,Pintura,1918133.0
Proveedor_17,Barranquilla,Vidrio,2711711.0
Proveedor_18,Cali,Acero,5728856.0
Proveedor_19,Medellín,Pintura,2351961.0
Proveedor_20,Barranquilla,Ladrillo,5107520.0
Proveedor_21,Bogotá,Vidrio,6494624.0
Proveedor_22,Cali,Vidrio,4581190.0
Proveedor_23,Cartagena,Arena,2606583.0
Proveedor_24,Medellín,Arena,2828472.0
Proveedor_25,Cali,Vidrio,4977412.0
Proveedor_26,Bogotá,Vidrio,6780067.0
Proveedor_27,Cartagena,Arena,6483478.0
Proveedor_28,Barranquilla,Vidrio,5970880.0
Proveedor_29,Cali,Madera,4323553.0
Proveedor_30,Bucaramanga,Ladrillo,4499933.0
Proveedor_31,Cali,Grava,5781904.0
Proveedor_32,Cali,Concreto,6282646.0
Proveedor_33,Bogotá,Acero,1816885.0
Proveedor_34,Cali,Ladrillo,4728805.0
Proveedor_35,Bogotá,Arena,1940347.0
Proveedor_36,Medellín,Pintura,2937297.0
Proveedor_37,Bucaramanga,Ladrillo,5926873.0
Proveedor_38,Bucaramanga,Grava,2956380.0
Proveedor_39,Cali,Grava,1930052.0
Proveedor_40,Barranquilla,Concreto,4853513.0
Proveedor_41,Barranquilla,Pintura,3325741.0
Proveedor_42,Medellín,Grava,4509067.0
Proveedor_43,Cartagena,Madera,3742021.0
