Proveedor,Ciudad,Tipo de Insumos,CupoCredito
Proveedor_1,Cali,Acero,4027725.0
Proveedor_2,Bogotá,Madera,6306603.0
Proveedor_3,Bogotá,Grava,4585541.0
Proveedor_4,Bucaramanga,Acero,5199377.0
Proveedor_5,Bucaramanga,Concreto,3271952.0
Proveedor_6,Bogotá,Concreto,4722567.0
Proveedor_7,Medellín,Arena,4738435.0
Proveedor_8,Barranquilla,Vidrio,4997890.0
Proveedor_9,Bucaramanga,Acero,4716778.0
Proveedor_10,Cali,Concreto,5350664.0
Proveedor_11,Cali,Madera,3299602.0
Proveedor_12,Cali,Madera,6646630.0
Proveedor_13,Bogotá,Arena,4646984.0
Proveedor_14,Medellín,Arena,4934526.0
Proveedor_15,Bucaramanga,Arena,4378215.0
Proveedor_16,Cartagena,Acero,8085249.0
Proveedor_17,Bucaramanga,Concreto,6862824.0
Proveedor_18,Medellín,Madera,4582687.0
Proveedor_19,Cartagena,Acero,7709669.0
Proveedor_20,Bucaramanga,Acero,2829904.0
Proveedor_21,Barranquilla,Pintura,4415502.0
Proveedor_22,Barranquilla,Concreto,4203120.0
Proveedor_23,Barranquilla,Concreto,4853231.0
Proveedor_24,Barranquilla,Arena,6865078.0
Proveedor_25,Bogotá,Pintura,6261548.0
Proveedor_26,Cartagena,Concreto,5043862.0
Proveedor_27,Barranquilla,Ladrillo,4975686.0
Proveedor_28,Cartagena,Madera,5728331.0
Proveedor_29,Bogotá,Acero,3829334.0
Proveedor_30,Bogotá,Ladrillo,3118278.0
Proveedor_31,Cali,Pintura,7425159.0
