Proveedor,Ciudad,Tipo de Insumos,CupoCredito
Proveedor_1,Barranquilla,Ladrillo,5348461.0
Proveedor_2,Cali,Acero,4680915.0
Proveedor_3,Bucaramanga,Vidrio,3060966.0
Proveedor_4,Barranquilla,Vidrio,4687090.0
Proveedor_5,Medellín,Concreto,5034393.0
Proveedor_6,Cartagena,Acero,6524287.0
Proveedor_7,Medellín,Vidrio,4456874.0
Proveedor_8,Barranquilla,Madera,4952519.0
Proveedor_9,Cartagena,Concreto,3805751.0
Proveedor_10,Cartagena,Grava,2229541.0
Proveedor_11,Cartagena,Concreto,3492633.0
Proveedor_12,Cali,Madera,4661866.0
Proveedor_13,Cali,Pintura,5553874.0
Proveedor_14,Bogotá,Pintura,3098969.0
Proveedor_15,Barranquilla,Concreto,7158668.0
Proveedor_16,Cartagena,Madera,4802733.0
Proveedor_17,Bogotá,Pintura,3311298.0
Proveedor_18,Cali,Concreto,4628765.0
Proveedor_19,Medellín,Grava,1675404.0
Proveedor_20,Bucaramanga,Pintura,6773956.0
Proveedor_21,Barranquilla,Pintura,3632334.0
Proveedor_22,Cali,Pintura,4405921.0
Proveedor_23,Cali,Grava,4975530.0
Proveedor_24,Bogotá,Acero,7468902.0
Proveedor_25,Bogotá,Pintura,6916036.0
Proveedor_26,Cali,Vidrio,5793682.0
Proveedor_27,Bogotá,Ladrillo,4749507.0
Proveedor_28,Cartagena,Acero,4489854.0
Proveedor_29,Bogotá,Madera,3291123.0
Proveedor_30,Bucaramanga,Arena,6357668.0
Proveedor_31,Cartagena,Arena,5094199.0
Proveedor_32,Cali,Acero,3901760.0
Proveedor_33,Cartagena,Ladrillo,7099979.0
Proveedor_34,Barranquilla,Pintura,4928657.0
Proveedor_35,Bogotá,Ladrillo,5927204.0
Proveedor_36,Barranquilla,Arena,6905236.0
Proveedor_37,Cartagena,Madera,4444087.0
Proveedor_38,Medellín,Ladrillo,3148920.0
Proveedor_39,Barranquilla,Arena,4701735.0
Proveedor_40,Cartagena,Madera,4500673.0
Proveedor_41,Barranquilla,Grava,3174606.0
Proveedor_42,Cartagena,Arena,9243368.0
Proveedor_43,Bogotá,Acero,5363719.0
Proveedor_44,Bogotá,Grava,4285169.0
Proveedor_45,Medellín,Acero,1200177.0
