Proveedor,Ciudad,Tipo de Insumos,CupoCredito
Proveedor_1,Medellín,Madera,6012909.0
Proveedor_2,Bogotá,Vidrio,4268790.0
Proveedor_3,Medellín,Pintura,5459737.0
Proveedor_4,Bucaramanga,Vidrio,5483024.0
Proveedor_5,Bogotá,Acero,4278582.0
Proveedor_6,Medellín,Grava,5419218.0
Proveedor_7,Bucaramanga,Acero,5630318.0
Proveedor_8,Cali,Grava,4454901.0
Proveedor_9,Bogotá,Acero,3599107.0
Proveedor_10,Barranquilla,Concreto,4555549.0
Proveedor_11,Barranquilla,Concreto,2535165.0
Proveedor_12,Bucaramanga,Concreto,7057173.0
Proveedor_13,Bogotá,Vidrio,4432420.0
Proveedor_14,Bucaramanga,Pintura,5373380.0
Proveedor_15,Cali,Madera,6210346.0
Proveedor_16,Cartagena,Vidrio,5121769.0
Proveedor_17,Bogotá,Grava,6865183.0
Proveedor_18,Bucaramanga,Pintura,3505465.0
Proveedor_19,Bogotá,Arena,5368311.0
Proveedor_20,Bogotá,Concreto,4379480.0
Proveedor_21,Cartagena,Madera,4637518.0
Proveedor_22,Bogotá,Arena,6384234.0
Proveedor_23,Cali,Vidrio,4826117.0
Proveedor_24,Cartagena,Concreto,4921858.0
Proveedor_25,Medellín,Concreto,4724339.0
Proveedor_26,Cali,Arena,4707339.0
Proveedor_27,Bogotá,Grava,5707881.0
Proveedor_28,Medellín,Vidrio,5111288.0
Proveedor_29,Cartagena,Concreto,5333955.0
Proveedor_30,Bucaramanga,Pintura,4456492.0
Proveedor_31,Cali,Arena,7948827.0
Proveedor_32,Cartagena,Arena,6602909.0
Proveedor_33,Bogotá,Vidrio,2823752.0
Proveedor_34,Cartagena,Arena,4194581.0
Proveedor_35,Bucaramanga,Madera,2397034.0
Proveedor_36,Bogotá,Acero,4161382.0
Proveedor_37,Medellín,Acero,6957528.0
Proveedor_38,Bucaramanga,Pintura,3667294.0
Proveedor_39,Bucaramanga,Madera,4086240.0
