Proveedor,Ciudad,Tipo de Insumos,CupoCredito
Proveedor_1,Medellín,Madera,1367853.0
Proveedor_2,Cartagena,Ladrillo,4758096.0
Proveedor_3,Bogotá,Vidrio,6860855.0
Proveedor_4,Medellín,Pintura,3322756.0
Proveedor_5,Bucaramanga,Acero,5946035.0
Proveedor_6,Medellín,Vidrio,3520473.0
Proveedor_7,Bucaramanga,Acero,3756776.0
Proveedor_8,Barranquilla,Pintura,5546103.0
Proveedor_9,Medellín,Madera,3189879.0
Proveedor_10,Bucaramanga,Madera,7233919.0
Proveedor_11,Cartagena,Ladrillo,4092318.0
Proveedor_12,Cali,Ladrillo,6281784.0
Proveedor_13,Bucaramanga,Ladrillo,4323873.0
Proveedor_14,Cartagena,Pintura,5703372.0
Proveedor_15,Medellín,Acero,6371511.0
Proveedor_16,Cartagena,Ladrillo,2891346.0
Proveedor_17,Cali,Ladrillo,6371237.0
Proveedor_18,Bucaramanga,Grava,4123304.0
Proveedor_19,Medellín,Grava,4426523.0
Proveedor_20,Cali,Madera,3225973.0
Proveedor_21,Cartagena,Pintura,6021862.0
Proveedor_22,Barranquilla,Arena,5070922.0
Proveedor_23,Bogotá,Ladrillo,3935575.0
Proveedor_24,Medellín,Acero,4569844.0
Proveedor_25,Barranquilla,Ladrillo,6093517.0
Proveedor_26,Medellín,Grava,4931114.0
Proveedor_27,Cartagena,Acero,2243916.0
Proveedor_28,Medellín,Ladrillo,5948404.0
Proveedor_29,Medellín,Ladrillo,5414801.0
Proveedor_30,Cartagena,Concreto,4536702.0
Proveedor_31,Cali,Ladrillo,6333591.0
Proveedor_32,Medellín,Ladrillo,3360342.0
Proveedor_33,Cartagena,Ladrillo,4198020.0
Proveedor_34,Barranquilla,Madera,4654635.0
Proveedor_35,Cali,Pintura,7628282.0
Proveedor_36,Cartagena,Pintura,2285700.0
Proveedor_37,Bogotá,Acero,5988274.0
Proveedor_38,Bucaramanga,Madera,5406819.0
Proveedor_39,Barranquilla,Grava,4965102.0
Proveedor_40,Cartagena,Madera,3856865.0
Proveedor_41,Barranquilla,Ladrillo,3942998.0
Proveedor_42,Bucaramanga,Grava,6045717.0
Proveedor_43,Barranquilla,Pintura,5994791.0
Proveedor_44,Cartagena,Madera,3666455.0
Proveedor_45,Cali,Concreto,4643502.0
Proveedor_46,Medellín,Grava,4651271.0
Proveedor_47,Cali,Arena,4479020.0
Proveedor_48,Bogotá,Ladrillo,1538843.0
Proveedor_49,Bogotá,Grava,2473721.0
Proveedor_50,Bogotá,Grava,5955569.0
Proveedor_51,Bucaramanga,Vidrio,5072505.0
