Proveedor,Ciudad,Tipo de Insumos,CupoCredito
Proveedor_1,Cali,Madera,5563419.0
Proveedor_2,Bucaramanga,Vidrio,9055260.0
Proveedor_3,Medellín,Madera,3994197.0
Proveedor_4,Cartagena,Vidrio,7547042.0
Proveedor_5,Cartagena,Arena,4310825.0
Proveedor_6,Cali,Pintura,4717437.0
Proveedor_7,Bogotá,Concreto,3854103.0
Proveedor_8,Medellín,Pintura,5841071.0
Proveedor_9,Bogotá,Madera,5278571.0
Proveedor_10,Barranquilla,Grava,4053679.0
Proveedor_11,Bogotá,Vidrio,4637301.0
Proveedor_12,Medellín,Arena,6936773.0
Proveedor_13,Bucaramanga,Pintura,497700.0
Proveedor_14,Barranquilla,Arena,7069704.0
Proveedor_15,Medellín,Acero,6472093.0
Proveedor_16,Barranquilla,Acero,5540383.0
Proveedor_17,Medellín,Ladrillo,3145241.0
Proveedor_18,Cali,Grava,4473617.0
Proveedor_19,Bucaramanga,Acero,3394193.0
Proveedor_20,Cartagena,Concreto,5734116.0
Proveedor_21,Barranquilla,Acero,5143489.0
Proveedor_22,Medellín,Pintura,5367347.0
Proveedor_23,Cartagena,Acero,4789857.0
Proveedor_24,Bucaramanga,Ladrillo,3259671.0
Proveedor_25,Medellín,Acero,5630560.0
Proveedor_26,Bucaramanga,Acero,8017078.0
Proveedor_27,Medellín,Grava,4291760.0
Proveedor_28,Cartagena,Grava,6636529.0
Proveedor_29,Bogotá,Ladrillo,7038874.0
Proveedor_30,Bogotá,Arena,5201376.0
Proveedor_31,Bucaramanga,Acero,2685288.0
Proveedor_32,Medellín,Vidrio,4342022.0
Proveedor_33,Cali,Grava,4540868.0
Proveedor_34,Cali,Ladrillo,4218428.0
Proveedor_35,Cartagena,Concreto,0.0
Proveedor_36,Cartagena,Pintura,5755010.0
Proveedor_37,Bogotá,Ladrillo,5218211.0
Proveedor_38,Cartagena,Concreto,8032716.0
Proveedor_39,Bogotá,Madera,7316656.0
Proveedor_40,Bucaramanga,Vidrio,5221194.0
Proveedor_41,Bogotá,Pintura,43392.0
Proveedor_42,Medellín,Concreto,5920941.0
Proveedor_43,Cali,Vidrio,5952180.0
Proveedor_44,Medellín,Concreto,6324579.0
Proveedor_45,Medellín,Madera,5310217.0
Proveedor_46,Barranquilla,Pintura,5734263.0
Proveedor_47,Bucaramanga,Grava,6538402.0
Proveedor_48,Cali,Grava,5794577.0
Proveedor_49,Medellín,Madera,4190362.0
Proveedor_50,Medellín,Grava,6673643.0
Proveedor_51,Cali,Madera,5969783.0
Proveedor_52,Bogotá,Pintura,3211930.0
